title,fulltext,prompt,authors_1,authors_2,authors_3,authors_4,authors_5,authors_6,authors_7,authors_8,authors_9,meta_1,meta_2,meta_3,meta_4,meta_5,meta_6,meta_7,meta_8,url
Große Koalition erhöht Kindergeld und senkt Steuern,"Lothar Binding, finanzpolitischer Sprecher:

Die Große Koalition entlastet Familien. Mit dem heute von der Bundesregierung beschlossenen Entwurf eines Familienentlastungsgesetzes wird das Kindergeld erhöht. Es werden der Kinderfreibetrag und der Grundfreibetrag angehoben. Außerdem werden die Steuermehreinnahmen aufgrund der kalten Progression zurückgegeben.

„Die Bundesregierung hat heute den Entwurf eines Familienentlastungsgesetzes beschlossen. Damit werden Familien entlastet und Steuererleichterungen für sämtliche Einkommensteuerzahler auf den Weg gebracht.

Im Mittelpunkt stehen die Familien. Das Kindergeld wird um zehn Euro pro Monat ab dem 1. Juli 2019 angehoben. Der Kinderfreibetrag wird entsprechend erhöht.

Eine weitere Kindergelderhöhung von 15 Euro pro Monat und eine zusätzliche Erhöhung des Kinderfreibetrags werden wir 2021 vornehmen.

Außerdem wird der Grundfreibetrag für Erwachsene erhöht. Vor allem werden die heimlichen Steuermehreinnahmen aufgrund der sogenannten kalten Progression an die Steuerzahler zurückgegeben.

Die Gesetzesvorlage führt insgesamt zu einer Steuerentlastung von knapp zehn Milliarden Euro. Die Steuersenkung kommt bei den Bürgern und vor allem bei den Familien an. Ledige mit einem Bruttolohn von 40.000 Euro zahlen ab 2020 181 Euro weniger Steuern. Verheiratete Alleinverdiener mit zwei Kindern und einem Bruttolohn von 75.000 Euro werden um 605 Euro entlastet.“","Lothar Binding, finanzpolitischer Sprecher:",Lothar Binding,", finanzpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,27.06.2018,19. Wahlperiode,227,Finanzen,Lothar Binding (Heidelberg),Finanzmarkt,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/grosse-koalition-erhoeht-kindergeld-senkt-steuern
Bei Tiertransporten endlich handeln,"Susanne Mittag, Tierschutzbeauftragte:

Im Bundestag hat ein öffentliches Fachgespräch zu Lebendtiertransporten in außereuropäische Länder stattgefunden. Die SPD-Bundestagsfraktion sieht akuten Handlungsbedarf – sowohl auf europäischer als auch nationaler Ebene.

„Die Zahl der Transporte von lebenden Tieren in außereuropäische Länder nimmt seit Jahren zu. Die Transportbedingungen haben sich aber nicht nennenswert verbessert. Die Experten unterstrichen, dass Langstreckentransporte oft nicht tierschutzkonform ablaufen und in den Zielländern unsere Tierschutzstandards nicht eingehalten werden. Außerdem sind die Versorgungsstationen entlang der Routen häufig überfüllt und die LKWs können nicht in Echtzeit verfolgt werden, was Kontrollen unmöglich macht.

Die Tierschutzbeauftragte zieht aus dem Fachgespräch konkrete Handlungserfordernisse, die Landwirtschaftsministerin Julia Klöckner zeitnah angehen muss. Empfängerstaaten sollten zur Einhaltung von Standards der Weltorganisation für Tiergesundheit (OIE) verpflichtet werden. Auch muss die maximale Transportdauer auf acht Stunden gesenkt werden. Auf nationaler Ebene kann die Ministerin gleich aktiv werden: Bislang ist die europäische Tiertransport-Verordnung in Deutschland nicht bußgeldbewertet. So können Tierärzte bei Kontrollen nicht einmal Bußgelder verhängen. Verdursten 50 Rinder auf dem Weg in die Türkei, kriegt der Exporteur nicht mal einen Strafzettel.“

 ","Susanne Mittag, Tierschutzbeauftragte:",Susanne Mittag,", Tierschutzbeauftragte:",NA,NA,NA,NA,NA,NA,NA,27.06.2018,19. Wahlperiode,226,Susanne Mittag,Tierschutz,PDF,NA,NA,https://www.spdfraktion.de/presse/pressemitteilungen/tiertransporten-endlich-handeln
Harley-Davidson verlegt Teile der Produktion – Trumps Strategie scheitert,"Bernd Westphal, wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:

In Reaktion auf den von Präsident Trump angestoßenen Handelskonflikt hat der US-amerikanische Motorradhersteller Harley-Davidson angekündigt, weitere Teile seiner Produktion ins Ausland zu verlegen.

„Die Verlagerung weiterer Teile der Produktion ins Ausland durch Harley-Davidson zeigt, dass Trumps Strategie nicht aufgeht. Trump will Jobs in den USA halten. Mit seiner Strategie der Abschottung erreicht er genau das Gegenteil. Wer Arbeitsplätze in einer globalisierten Welt erhalten will, muss auf freien und fairen Handel setzen.

Europas Zusammenhalt zahlt sich aus. Die amerikanischen Unternehmen lassen sich von Trumps Loyalitätsrhetorik nicht einschüchtern. Trump sollte das zum Anlass nehmen, zu einer regelbasierten, multilateralen Handelsordnung zurückzukehren. Die EU ist bereit, dabei mit den USA zusammenzuarbeiten.“

 

 ","Bernd Westphal, wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:",Bernd Westphal,", wirtschaftspolitischer Sprecher;Markus Töns, zuständiger Berichterstatter:",NA,NA,NA,NA,NA,NA,NA,26.06.2018,19. Wahlperiode,225,Wirtschaft und Energie,"Bernd Westphal, Markus Töns","Wirtschaft, Außenpolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/harley-davidson-verlegt-teile-produktion-trumps-strategie-scheitert
Petitionsausschuss berät über Zwangsadoptionen in der ehemaligen DDR,"Stefan Schwartze, petitionspolitischer Sprecher:

Der Petitionsausschuss beginnt heute mit Beratungen über das Unrecht der Zwangsadoptionen in der ehemaligen DDR. Die SPD-Bundestagsfraktion stellt sich der großen Herausforderung, die mit diesem Anliegen verbunden ist.

„Das Unrecht der Zwangsadoptionen in der ehemaligen DDR muss aufgearbeitet und aufgeklärt werden. Mit dieser Forderung haben sich Betroffene an den Petitionsausschuss des Deutschen Bundestages gewandt. Heute sprechen Mitglieder des Petitionsausschusses mit Betroffenen und Fachleuten.

Die SPD-Bundestagsfraktion stellt sich der großen Herausforderung, die mit diesem Anliegen verbunden ist. Denn das Thema ist unfassbar emotional. Der Ausschuss muss mit Bedacht und vorurteilsfrei handeln. Es darf nicht der Eindruck entstehen, dass alle Adoptionen in der DDR unter Zwang stattfanden. Das Unrecht muss jedoch aufgearbeitet und aufgeklärt werden. Die Folgen staatlicher Repression haben für die Betroffenen nicht mit dem Ende der DDR aufgehört.

Entscheidend für die Aufklärung ist, dass alle noch vorhandenen Unterlagen auf allen Ebenen sichergestellt werden. Wünschenswert sind eine wissenschaftliche Begleitung und eine gute Vernetzung der Archive.“","Stefan Schwartze, petitionspolitischer Sprecher:",Stefan Schwartze,", petitionspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,25.06.2018,19. Wahlperiode,223,Petitionen,Stefan Schwartze,Petitionen,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/petitionsausschuss-beraet-zwangsadoptionen-ehemaligen-ddr
Neue Doppelspitze für die Berlinale: eine gute Wahl,"Martin Rabanus, kultur- und medienpolitischer Sprecher:

Die SPD-Bundestagsfraktion freut sich, dass der Auswahlprozess um die Nachfolge von Dieter Kosslick zu einem guten Ende gekommen ist und mit Carlo Chatrian und Mariette Rissenbeek zwei erfahrene Kinopraktiker die Berlinale als weltweit wichtiges Publikumsfestival mit politischer Aussage nun in die Zukunft führen werden.

""In seiner heutigen Sitzung hat der Aufsichtsrat der Kulturveranstaltungen des Bundes in Berlin GmbH Carlo Chatrian und Mariette Rissenbeek zu den Nachfolgern von Dieter Kosslick berufen. Wir begrüßen die Berufung von Chatrian als neuem künstlerischen Leiter und Rissenbeek als geschäftsführender Leiterin ausdrücklich. Dem Bedeutungszuwachs der Berlinale über die Jahre angemessen halten wir es für sehr sinnvoll, dass die Leitung des Filmfestivals nunmehr in mehrere Hände gelegt wird.

Mit Carlo Chatrian konnte ein wahrer Cineast für die Berlinale gefunden werden, der sein Handwerk versteht und die künstlerische Vision nicht aus dem Blick verliert. Mit klarer Handschrift prägte er über die vergangenen sechs Jahre erfolgreich das Filmfestival in Locarno. Wir wünschen der neuen Doppelspitze, dass sie mit Neugierde und Sachverstand die Berlinale erfolgreich in die Zukunft führen wird und dabei auch ein Wegbereiter für die stärkere Einbeziehung neuer visueller Ausdrucksformen wie Serien, Webformate, Videospiele und Virtual Reality wird. Auch sollte der European Film Market, der sich zu einem der weltweit größten Umschlagplätze für Filme entwickelt hat, unter der neuen Leitung als wichtiges Standbein des deutschen und europäischen Films erhalten und weiter ausgebaut werden.

Dieter Kosslick hat als Chef über die vergangenen 17 Jahre hinweg das Renommee der Berlinale als Filmfestival ersten Ranges in die Welt getragen. Mit der Einführung von Reihen wie ,Perspektive Deutsches Kino' und ,Talents' vermochte er prägende Akzente zu setzen und hat maßgeblich dazu beigetragen, dass die Berlinale heute international wie kein anderes Publikumsfestival zugleich für vielfältige politische Perspektiven steht. Wir erhoffen uns, dass dies unter der neuen Leitung beibehalten wird: die Berlinale also primär ein Publikumsfestival bleibt und auch in Zukunft politische Aussagen nicht scheuen wird.""","Martin Rabanus, kultur- und medienpolitischer Sprecher:",Martin Rabanus,", kultur- und medienpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,22.06.2018,19. Wahlperiode,222,Kultur und Medien,Martin Rabanus,Kultur,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/neue-doppelspitze-berlinale-gute-wahl
Mehr tun für Chancengleichheit,"Oliver Kaczmarek, bildungs- und forschungspolitischer Sprecher:

Der Bildungsbericht 2018 macht deutlich: Es gibt noch viel zu tun auf dem Weg zum bildungspolitischen Ziel echter Chancengleichheit. Jedem vierten Kind ist eine erfolgreiche Bildung verbaut. Deshalb braucht es mehr Investitionen in Bildung für gute Ganztagsschulen, digitale Ausstattung von Schulen und ein besseres BAföG. Die Große Koalition wird hier auf Druck der SPD an wichtigen Stellschrauben ansetzen.

„Es bleibt eine große Herausforderung des Bildungssystems, die sozialen und regionalen Ungleichheiten zu verringern. Die wachsende Zahl von Bildungsteilnehmern in allen Bereichen ist erfreulich. Sie muss sich aber auch in mehr gut qualifiziertem Personal, guten Bildungskonzepten und einer effektiven Qualitätssicherung niederschlagen. Investitionen in gute Bildung sind keine optionalen Aufgaben, sondern eine Frage der Zukunftsfähigkeit unserer Gesellschaft. Einen neuen kooperativen Bildungsföderalismus bringen wir mit der Abschaffung des Kooperationsverbotes auf den Weg, damit Bund und Länder bei den großen Herausforderungen für Bildung miteinander kooperieren.

Die hohe Zahl an Studierenden ist erfreulich, darf aber nicht darüber hinweg täuschen, dass nach wie vor die soziale Herkunft ausschlaggebend für die Aufnahme eines Studiums ist. In Zeiten eines wachsenden Fachkräftemangels ist es nicht nur eine Frage von sozialer Gerechtigkeit, allen Kindern die Unterstützung zukommen zu lassen, die sie für einen erfolgreichen Bildungsweg brauchen. Die SPD-Bundestagsfraktion setzt sich für mehr Gleichwertigkeit von beruflicher und akademischer Bildung ein. Dazu gehört auch, Berufe des Erziehungs-, Gesundheits- und Sozialwesens attraktiver zu gestalten. Die politischen Rahmenbedingungen setzen wir hierfür mit vielen Stellschrauben im Koalitionsvertrag, zum Beispiel mit der Mindestausbildungsvergütung. Die Abschaffung des Schulgeldes für die Pflegeberufe ist bereits ein erster Erfolg.

Bildung endet nicht mit dem Erreichen von Abschlüssen. Lebensbegleitendes Lernen wird immer wichtiger und wird für alle selbstverständlich werden. Gute Weiterbildung ist jedoch nach wie vor zu betriebs- und berufsbezogen. Sie erreicht damit gerade nicht die Menschen, die mit einer passgenauen Qualifizierung, die Chance hätten im Arbeitsmarkt Fuß zu fassen oder neue Chancen im Wandel zu ergreifen. Das müssen wir ändern.“","Oliver Kaczmarek, bildungs- und forschungspolitischer Sprecher:",Oliver Kaczmarek,", bildungs- und forschungspolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,22.06.2018,19. Wahlperiode,221,Bildung und Forschung,Oliver Kaczmarek,Bildung,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/mehr-tun-chancengleichheit
Gute Daseinsvorsorge schafft gute Lebensqualität ,"Bernhard Daldrup, kommunalpolitischer Sprecher:

Der morgige 23. Juni ist der Tag der Daseinsvorsorge. Er weist darauf hin, dass die Kommunen gemeinsam mit öffentlichen und privaten Unternehmen jeden Tag für einen funktionierenden Alltag in unseren Städten und Gemeinden sorgen. Energie, Ver- und Entsorgung, Verkehr, Internet: Eine gute kommunale Daseinsvorsorge ist Voraussetzung guter Lebensqualität vor Ort. Die SPD kämpft für handlungsfähige Kommunen.

„Unsere Lebensqualität in Städten und Gemeinden hängt entscheidend von der Qualität kommunaler Daseinsvorsorge ab. Zur Daseinsvorsorge gehören nicht nur selbstverständliche kommunale Leistungen wie die Versorgung mit Strom und frischem Trinkwasser. Auch ob Parks sauber oder Schulen und Sporthallen in Schuss sind, ob es genug Kitas gibt, ob der Nahverkehr funktioniert oder das nächste Krankenhaus erreichbar ist – all das gehört zum Bereich der kommunalen Daseinsvorsorge.

Die Daseinsvorsorge gehört zum Kernbestand kommunaler Selbstverwaltung. Im Mittelpunkt stehen dabei die Bürgerinnen und Bürger, nicht der Gewinn eines Unternehmens. Deshalb sind die kommunalen Unternehmen mit ihren rund 750.000 Beschäftigten für die Sicherung kommunaler Daseinsvorsorge von besonderer Bedeutung.

Wir wollen gleichwertige Lebensverhältnisse in Deutschland. Deshalb unterstützen wir Städte und Gemeinden, damit sie überall in Deutschland ein funktionierendes und lebenswertes Umfeld für Bürgerinnen und Bürger und attraktive Standorte für die Wirtschaft schaffen können. Dazu müssen wir die Spaltung in reiche und arme Kommunen überwinden – unter anderem durch ein gesamtdeutsches Fördersystem für strukturschwache Regionen, Städte und Gemeinden.

In der vergangenen Wahlperiode haben wir mit rund 60 Milliarden Euro die bisher größte Entlastung für die Kommunen in der Geschichte der Bundesrepublik durchgesetzt. Diesen Weg gehen wir weiter. Wir investieren in Schulen, Kitas und Pflege, schaffen einen sozialen Arbeitsmarkt, stärken die dezentrale Energieversorgung und mobilisieren Milliarden für den öffentlichen Wohnungsbau oder die Schaffung eines flächendeckenden Glasfasernetzes. Gute kommunale Daseinsvorsorge funktioniert 365 Tage im Jahr vor Ort. Dazu wollen wir unseren Beitrag leisten.“

 ","Bernhard Daldrup, kommunalpolitischer Sprecher: ",Bernhard Daldrup,", kommunalpolitischer Sprecher: ",NA,NA,NA,NA,NA,NA,NA,22.06.2018,19. Wahlperiode,220,"Bau, Wohnen, Stadtentwicklung und Kommunen",Bernhard Daldrup,"Bauen und Stadtentwicklung, Kommunalpolitik",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/gute-daseinsvorsorge-schafft-gute-lebensqualitaet
Insektenschutz - erste Schritte umgesetzt,"Carsten Träger, umweltpolitischer Sprecher:

Aufgrund des rapiden Rückgangs der Insekten und ihrer „Systemrelevanz“ für Ökosysteme sind die Verabschiedung des „Eckpunktepapier zum Aktionsprogramm Insektenschutz der Bundesregierung“ im Kabinett und die Bereitstellung von jährlich fünf Millionen Euro für den Insektenschutz wichtige erste Schritte, um dieser Tiergruppe mit konkreten Maßnahmen zu helfen.

„Der rapide Rückgang der Insekten hat negative Auswirkungen auf alle insektenfressende Tiere, insbesondere Vögel und Fledermäuse. Insekten stehen am Anfang der Nahrungskette, sie sind ,systemrelevant‘ für intakte Ökosysteme und für die Bestäubung von Nutzpflanzen.

Schnelles Handeln ist erforderlich. Die Bundesumweltministerin setzt daher innerhalb der ersten 100 Tage der Bundesregierung ein wichtiges Signal, um einen weiteren Biodiversitätsverlust zu stoppen. Als Sofortmaßnahme werden fünf Millionen Euro pro Jahr aus dem ‚Bundesprogramm Biologische Vielfalt‘ für den Insektenschutz bereitgestellt.

Mit dem Aktionsprogramm sollen unter anderem Maßnahmen zur Förderung von Insektenlebensräumen in der Stadt und auf dem Land und zur Erhöhung der Strukturvielfalt gefördert werden. Ackerblühstreifen oder Blumenwiesen helfen nicht nur den Insekten, sondern erhöhen auch die Attraktivität unserer Kulturlandschaften und die Lebensqualität der Menschen. Parallel dazu muss insbesondere auch der Pestizideinsatz reduziert werden.

Mit dem Beschluss des Eckpunktepapiers werden jetzt die Weichen für Insektenschutzmaßnahmen die nächsten Jahre gestellt, von denen sowohl die Tier- und Pflanzenwelt als auch der Mensch profitieren wird.“","Carsten Träger, umweltpolitischer Sprecher:",Carsten Träger,", umweltpolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,21.06.2018,19. Wahlperiode,219,"Umwelt, Naturschutz und nukleare Sicherheit",Carsten Träger,Umwelt,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/insektenschutz-erste-schritte-umgesetzt
Nitrat-Urteil des EuGH Ohrfeige für jahrzehntelange Realitätsverweigerung,"Rainer Spiering, agrarpolitischer Sprecher;
Carsten Träger, umweltpolitischer Sprecher:

Heute hat der Europäische Gerichtshof in Luxemburg (EuGH) der Klage der EU-Kommission gegen Deutschland stattgegeben. Danach hat Deutschland jahrelang gegen die Vorgaben der EU-Nitrat-Richtlinie verstoßen. Jüngste wissenschaftliche Studien sowie der Sachverständigenrat für Umweltfragen attestieren zudem, dass die Bemühungen der Bundesrepublik nicht ausreichen. Daher fordert die SPD-Bundestagsfraktion eine umfassende Revision der Regelungen zur Stickstoffausbringung.

„Seit Jahrzehnten gelangt in einigen Regionen von Deutschland durch die landwirtschaftliche Düngung deutlich zu viel Nitrat in unsere Böden und Gewässer. Die Kosten daraus sind für Mensch, Umwelt und Klima mehr als deutlich. So wird die Trinkwasseraufbereitung in belasteten Gebieten immer aufwendiger. Einem 3-Personen-Haushalt in Nitrat-belasteten Gebieten droht ein Anstieg der Wasserrechnung um rund 140 Euro pro Jahr. Darüber hinaus sind bereits die Folgen des Stickstoffanstiegs in den Oberflächengewässern und Meeren mit verstärkter Algenbildung und sauerstoffarmen Bereichen sichtbar. Zudem nimmt auf überdüngten Böden die Artenvielfalt ab. Schäden zu vermeiden, ist immer preiswerter als sie zu reparieren. Wir fordern daher eine schnelle, EU-konforme Überarbeitung des Düngegesetzes und der Düngeverordnung.

Anlass zur Sorge bereitet außerdem eine aktuelle wissenschaftliche Studie, die belegt, dass die jüngste Reform des Düngerechts bei weitem nicht ausreicht, um der Situation Herr zu werden. Wir dürfen uns nicht mehr mit dem Kleinklein abgeben und müssen endlich den großen Schritt wagen. Nur auf diesem Weg können wir zukünftigen Generationen eine gesunde Umwelt zum Leben und Wirtschaften garantieren.

Nach dem Nitrat-Urteil des EuGH muss jedem klar werden, dass es ein ‚weiter so‘ nicht geben kann. Auch um deutschen Steuerzahlern vor Strafzahlungen von bis zu 240.000 Euro pro Tag beziehungsweise insgesamt mehreren Milliarden Euro zu bewahren, muss die Bundeslandwirtschaftsministerin ernsthaftere Anstrengungen unternehmen, um die Nitratbelastung nachhaltig zu senken. Weder die Allgemeinheit noch die Landwirte, die ordentlich arbeiten, dürfen für die Versäumnisse der letzten Jahrzehnte in Haftung genommen werden.“","Rainer Spiering, agrarpolitischer Sprecher;Carsten Träger, umweltpolitischer Sprecher:",Rainer Spiering,", agrarpolitischer Sprecher;",Carsten Träger,", umweltpolitischer Sprecher:",NA,NA,NA,NA,NA,21.06.2018,19. Wahlperiode,218,"Umwelt, Naturschutz und nukleare Sicherheit","Rainer Spiering, Carsten Träger","Umwelt, Naturschutz",PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/nitrat-urteil-eugh-ohrfeige-jahrzehntelange-realitaetsverweigerung
Kommunale Haushaltslage bestimmt Investitionstätigkeit ,"Bernhard Daldrup, kommunalpolitischer Sprecher:

Der Investitionsrückstand der Kommunen steigt laut aktuellem Kommunalpanel der Kreditanstalt für Wiederaufbau (KfW) auf 159 Milliarden Euro. Die Große Koalition steuert mit einer milliardenschweren Investitionsoffensive gegen.

„Das aktuelle Kommunalpanel der KfW zeigt einen weiterhin hohen Rückstand bei den kommunalen Investitionen. Dank der guten ökonomischen Rahmenbedingungen und der massiven Entlastungen des Bundes in der letzten Legislaturperiode sind viele Kommunen allerdings verhalten optimistisch, die Investitionsrückstände auf lange Sicht abbauen zu können.

Wie in der Vergangenheit ist die Lage regional unterschiedlich. Das Investitionsniveau in Kommunen mit Haushaltssicherungskonzepten liegt weiterhin um rund ein Drittel niedriger. Diese Kommunen können die wachsenden Bedarfe nicht durch höhere Investitionen ausgleichen. Hier bedarf es zielgerichteter politischer Lösungsansätze und Förderungen.

Aber auch in Kommunen mit guter Haushaltslage setzen fehlendes Personal und die hohe Auslastung der Bauwirtschaft der Investitionstätigkeit Grenzen. Insgesamt ist der Investitionsstau laut Kommunalpanel in den Bereichen Schule (47,4 Milliarden Euro) und Verkehrsinfrastruktur (38,6 Milliarden Euro) besonders hoch.

Wir setzen wir unsere Politik der Kommunalentlastungen deshalb fort und beginnen eine Investitionsoffensive: Von Investitionen in Schulen, Kitas und in die Pflege, über die Einrichtung eines sozialen Arbeitsmarkts und Milliarden für den öffentlichen Wohnungsbau, bis zur Schaffung eines flächendeckenden Glasfasernetzes – wir setzen klare Akzente zur Stärkung der Kommunen. Wir ändern das Grundgesetz, damit die Hilfen im sozialen Wohnungsbau, im Bildungssektor und in der Förderung des Nahverkehrs auch bei den Kommunen ankommen.

Mit den Kommissionen zu gleichwertigen Lebensverhältnissen und zur Novellierung des Bodenrechts wollen wir systematische Verbesserungen erarbeiten. Durch einen Kommunalausschuss im Bundestag haben wir die kommunale Stimme auf der Bundesebene verstärkt. Die Neuordnung der Bund-Länder-Finanzbeziehungen hat den Ländern überdies mehr Spielraum zur Unterstützung der Kommunen gegeben. Kurzum: Die SPD-Bundestagsfraktion bleibt an der Seite der Kommunen, wenn es um die Schaffung gleichwertiger Lebensbedingungen und guter Lebensqualität geht.“","Bernhard Daldrup, kommunalpolitischer Sprecher: ",Bernhard Daldrup,", kommunalpolitischer Sprecher: ",NA,NA,NA,NA,NA,NA,NA,21.06.2018,19. Wahlperiode,217,"Bau, Wohnen, Stadtentwicklung und Kommunen",Bernhard Daldrup,Kommunalpolitik,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/kommunale-haushaltslage-bestimmt-investitionstaetigkeit
Ungarn plant Angriff auf die Zivilgesellschaft,"Frank Schwabe, menschenrechtspolitischer Sprecher:

Die rechtskonservative Regierung Ungarns will Nichtregierungsorganisationen (NGOs), die Flüchtlinge in Ungarn unterstützen, mit einer Strafsteuer belegen. Heute wurde diese Steuer in Höhe von 25 Prozent auf ausländische Spenden beschlossen.

„Das Gesetzespaket der ungarischen Regierung ist ein Angriff auf den ungarischen Rechtsstaat und alle Menschen, die sich für grundlegende Menschenrechte einsetzen. Sollte das ungarische Parlament dieses Gesetzespaket verabschieden, muss die Europäische Union entschlossen gegen Ungarn vorgehen und das eröffnete Vertragsverletzungsverfahren gegen Ungarn entschieden vorantreiben.

Die Sondersteuer in Höhe von 25 Prozent war Teil des ursprünglichen ,Stop-Soros‘-Gesetzentwurfes. Nach scharfer Kritik aus dem Ausland – unter anderem durch die Venedig-Kommission des Europarates – entfernte die Regierung die Strafsteuer aus dem Gesetzentwurf, um sie schließlich über die Steuergesetzgebung zu beschließen.

Das ,Stop-Soros-Gesetz‘ richtet sich vor allem gegen den US-Milliardär Georg Soros, der zahlreiche Zivilorganisationen in Ungarn unterstützt. Die neue Fassung des Gesetzes sieht vor, dass Organisationen die Flüchtlingen helfen, künftig die Genehmigung des Innenministeriums benötigen, Helferinnen und Helfern der Zugang zum Grenzgebiet verboten werden kann und Ausländerinnen und Ausländern, die Flüchtlingen helfen, des Landes verwiesen werden.“","Frank Schwabe, menschenrechtspolitischer Sprecher: ",Frank Schwabe,", menschenrechtspolitischer Sprecher: ",NA,NA,NA,NA,NA,NA,NA,20.06.2018,19. Wahlperiode,216,Menschenrechte und humanitäre Hilfe,Frank Schwabe,Menschenrechte,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/ungarn-plant-angriff-zivilgesellschaft
Deutsch-französisches Ministertreffen: umfassender Fahrplan für Weiterentwicklung der EU,"Christian Petry, europapolitischer Sprecher:

In Meseberg haben sich Angela Merkel und Emmanuel Macron auf weitreichende Reformvorschläge für die Eurozone und die europäischen Institutionen geeinigt. Die SPD-Bundestagsfraktion begrüßt das Reformpaket, das beim EU-Gipfel Ende kommender Woche mit den übrigen Mitgliedstaaten beraten werden wird.

„In einer Zeit, in der die Errungenschaften des geeinten Europas von nationalistischen, antieuropäischen Kräften infrage gestellt werden, ist die gestrige Erklärung der deutschen und der französischen Regierung ein gutes und richtiges pro-europäisches Signal.

Der Beschluss von Meseberg bildet die Grundlage, in den kommenden Monaten wegweisende Reformen für Europa auf den Weg zu bringen. Besonders die gemeinsame Position zur Weiterentwicklung der Wirtschafts- und Währungsunion ist dabei hervorzuheben. Deutschland und Frankreich werden mit einer Steuerangleichung im Bereich der Körperschaftssteuer vorangehen, dies wird europaweit Vorbildcharakter haben. Daneben werden sich beide Regierungen für die Vollendung der Europäischen Bankenunion und die Weiterentwicklung des in der Krise gegründeten ESM zu einem umfassenden, der Stabilität der Währungsunion dienenden Instrumentes einsetzen.

Deutschland und Frankreich sind der Geschichte Europas verpflichtet. Gerade in Zeiten, in denen sich die US-amerikanische Regierung vom transatlantischen Bekenntnis distanziert, muss es Aufgabe beider Staaten sein, aktiv für das Friedensprojekt Europa zu kämpfen. Die Erklärung von Meseberg bietet hierfür die richtige Diskussionsgrundlage. Es ist nun an der deutschen und der französischen Regierung, die europäischen Partner von der Notwendigkeit der diskutierten Vorschläge zu überzeugen.“","Christian Petry, europapolitischer Sprecher:",Christian Petry,", europapolitischer Sprecher:",NA,NA,NA,NA,NA,NA,NA,20.06.2018,19. Wahlperiode,215,Angelegenheiten der Europäischen Union,Christian Petry,Europa,PDF,NA,https://www.spdfraktion.de/presse/pressemitteilungen/deutsch-franzoesisches-ministertreffen-umfassender-fahrplan
